dataid^title^zonename^housetype^square^direction^remark^subway^taxfree^education^totalprice^perprice^review
SH0000914414^小区中央位置+满五唯一+边套靠河+采光好^盛大花园^3室2厅^136平米^南北^龙华二手房/低楼层(共19层)/2002年建^距离11号线龙华站465米^满五年唯一^^810^59441 元/m²^38
SH0000924107^满五唯一、有学区名额、楼王高区位置、从未使用、送产权^涵碧景苑^4室2厅^173平米^南北^新江湾城二手房/高楼层(共11层)/2008年建^距离8号线市光路站1051米^满五年唯一^^850^48986 元/m²^49
SH0000889531^《王梦生，专注闵行古美板块的房子》期待您的来电~^鸿发家园^3室2厅^131平米^南北^古美二手房/高楼层(共9层)/2002年建^^满五年唯一^^480^36547 元/m²^33
SH0000908363^上海知音稀缺全明两房，厅南北直通，精装修，随时看房^上海知音苑^2室2厅^117平米^南北^长寿路二手房/中楼层(共18层)/2003年建^距离13号线隆德路站430米^满五年唯一^^730^62075 元/m²^60
SH0000885489^松花公寓+景观楼层+精装修+单价超低+紧靠地铁公园^松花公寓^2室1厅^79平米^东^黄兴公园二手房/中楼层(共17层)/1998年建^距离8号线黄兴公园站514米^满五年唯一^^250^31352 元/m²^53
SH0000914722^钥匙房+单价只有2.6万+南北通透+随时可看来电即可^华光花园^3室1厅^146平米^南北^金虹桥二手房/低楼层(共6层)/1996年建^距离10号线龙溪路站908米^满五年唯一^^380^26024 元/m²^25
SH0000911318^南京西路畔唯一住宅+稀缺南北通透一房+随时可看^南阳小区^1室0厅^47平米^南^南京西路二手房/低楼层(共36层)/1990年建^距离7号线静安寺站419米^满五年唯一^西康路三小东部/西康路三小西部^270^56963 元/m²^30
SH0000913916^（前排复式）（全屋地暖）（附带车位）（稀缺户型）^翠湖天地雅苑^3室2厅^202平米^南北^新天地二手房/低楼层(共16层)/2003年建^距离10号线新天地站292米^满五年唯一^^1700^83897 元/m²^30
SH0000913103^新出房源，黄金地段，满五唯一，房东急售，随时看房！！^永新花苑^3室2厅^171平米^南北^徐家汇二手房/低楼层(共32层)/2002年建^距离9号线徐家汇站349米^满五年唯一^光启小学^825^48077 元/m²^80
SH0000917272^（随时看房）（南北通两房）（采光无遮挡）（物业完善）^桃源兴城苑^2室2厅^108平米^南北^五里桥二手房/低楼层(共20层)/2003年建^距离9号线马当路站543米^满五年唯一^上师大卢湾实验小学^700^64785 元/m²^35
SH0000886240^对口师专附小，看房方便，生活方便，交通方便^局门路405弄^2室1厅^49平米^南北^五里桥二手房/低楼层(共7层)/1995年建^距离4号线西藏南路站693米^满五年唯一^^300^60387 元/m²^29
SH0000890131^小区最好户型，二房的价格卖三房，全明^金桥花园^3室2厅^106平米^西^镇宁路二手房/中楼层(共29层)/1997年建^距离11号线江苏路站342米^满五年唯一^^560^52420 元/m²^66
SH0000891098^06年电梯房，地铁口，16万新装修，业主置换看房找我^九歌上郡^1室1厅^55平米^南^静安新城二手房/中楼层(共11层)/2006年建^距离9号线合川路站238米^满五年唯一^七宝实验小学^265^47964 元/m²^21
SH0000888077^建平九年制最高性价比电梯2房。急急。。。。。。^弘扬雅苑^2室2厅^105平米^南北^金杨二手房/中楼层(共11层)/2002年建^^满五年唯一^^620^58718 元/m²^24
SH0000885825^帝景苑首玺房：一南两北，厅南北通，高区直观徐家汇花园^兆丰帝景苑^3室2厅^157平米^南^徐家汇二手房/中楼层(共28层)/2004年建^距离9号线徐家汇站462米^满五年唯一^光启小学^1050^66502 元/m²^27
SH0000907322^豪华装修的海悦花园三房 低价出售^海悦花园^3室2厅^149平米^南北^打浦桥二手房/低楼层(共32层)/2004年建^距离4号线鲁班路站340米^满五年唯一^海华小学^1000^67106 元/m²^27
SH0000890822^全新装修 黄金楼层 采光非常好 南北通透 中心位置^金汇花园一街坊^2室2厅^81平米^南北^金汇二手房/中楼层(共6层)/1994年建^距离10号线龙柏新村站459米^满五年唯一^^330^40417 元/m²^26
SH0000895377^我的签赔房！静安公寓稀缺双南户型，居家装修，性价比高^静安新城四区^2室1厅^73平米^南^静安新城二手房/中楼层(共24层)/1998年建^距离9号线合川路站823米^满五年唯一^七宝实验小学^270^36645 元/m²^26
SH0000895439^黄金楼层，黄金地段，采光充足，独家钥匙房，随时看！^包头路902弄^2室1厅^82平米^南^中原二手房/中楼层(共6层)/1999年建^^满五年唯一^^300^36219 元/m²^26
